"ror_nr","ror_unit","ror_plant","region_id","zip","city","street","year","Pinst","efactor","head","total_flow","flo_river_ror","status","company","turbtype","geodbid","river","river_km","level_meter"
"1","Aach_1","Aach","11012","0",,,"1936","0.60","0.00","0.00","0.00",NULL,"OPR",,,"0","Aach","0","22"
"2","Aach_2","Aach","11012","0",,,"0","0.90","0.00","0.00","0.00",NULL,"OPR",,,"0","Aach","0","22"
"3","Aach_3","Aach","11012","0",,,"1990","0.13","0.00","0.00","0.00",NULL,"OPR",,,"0","Aach","0","22"
"4","ACHEN 1","ACHEN","11018","0","Schonstett",,"2000","0.08","0.00","0.00","0.00",NULL,"OPR","ELEK GENOSSENSCHAFT SCHONSTETT","FRANCIS","0",,"0","12"
"5","AFFOLDERN REBUILD 1","AFFOLDERN","11016","0","Edertal-Affoldern",,"1998","1.40","0.00","0.00","0.00",NULL,"OPR","STATKRAFT GERMANY","BEVEL","0","Eder","0","14"
"6","AFFOLDERN REBUILD 2","AFFOLDERN","11016","0","Edertal-Affoldern",,"1998","1.40","0.00","0.00","0.00",NULL,"OPR","STATKRAFT GERMANY","BEVEL","0","Eder","0","14"
"7","AHAUSEN 1","AHAUSEN","11007","0","Finnentrop",,"1938","0.99","0.00","0.00","0.00",NULL,"OPR","LISTER- UND LENNEKRAFTWERKE","KAPLAN/V","0",,"0","24"
"8","AHAUSEN 2","AHAUSEN","11007","0","Finnentrop",,"1938","0.99","0.00","0.00","0.00",NULL,"OPR","LISTER- UND LENNEKRAFTWERKE","KAPLAN/V","0",,"0","24"
"9","AISTAIG 1","AISTAIG","11012","0",,,"2000","0.49","0.00","0.00","0.00",NULL,"OPR","ENBW ENERGIE BADEN-WURTTEMBERG","FRANCIS","0",,"0","30"
"10","AISTAIG 2","AISTAIG","11012","0",,,"2000","0.49","0.00","0.00","0.00",NULL,"OPR","ENBW ENERGIE BADEN-WURTTEMBERG","FRANCIS","0",,"0","30"
"11","AITRACH REBUILD 1","AITRACH","11010","0",,,"1995","4.20","0.00","0.00","0.00",NULL,"OPR","ENBW ENERGIE BADEN-WURTTEMBERG","KAPLAN","0","Iller","57","38"
"12","AITRACH REBUILD 2","AITRACH","11010","0",,,"1996","4.20","0.00","0.00","0.00",NULL,"OPR","ENBW ENERGIE BADEN-WURTTEMBERG","KAPLAN","0","Iller","57","38"
"13","ALBBRUCK-DOGERN 1","ALBBRUCK-DOGERN","11012","0","Albbruck",,"1933","28.00","0.00","0.00","0.00",NULL,"OPR","RHEINKRAFTWERK ALBBRUCK-DOGERN","KAPLAN","0","Hochrhein","923","30"
"14","ALBBRUCK-DOGERN 2","ALBBRUCK-DOGERN","11012","0","Albbruck",,"1933","25.34","0.00","0.00","0.00",NULL,"OPR","RHEINKRAFTWERK ALBBRUCK-DOGERN","KAPLAN","0","Hochrhein","923","30"
"15","ALBBRUCK-DOGERN 3","ALBBRUCK-DOGERN","11012","0","Albbruck",,"1933","25.34","0.00","0.00","0.00",NULL,"OPR","RHEINKRAFTWERK ALBBRUCK-DOGERN","KAPLAN","0","Hochrhein","923","30"
"16","ALBBRUCK-DOGERN 4","ALBBRUCK-DOGERN","11012","0","Albbruck",,"2009","21.72","0.00","0.00","0.00",NULL,"CON","RHEINKRAFTWERK ALBBRUCK-DOGERN","BULB","0","Hochrhein","923","30"
"17","ALDINGEN 1","ALDINGEN","11011","0",,,"1990","0.60","0.00","0.00","0.00",NULL,"OPR","ENBW ENERGIE BADEN-WURTTEMBERG","BULB","0","Neckar","172","27"
"18","ALDINGEN 2","ALDINGEN","11011","0",,,"1990","0.60","0.00","0.00","0.00",NULL,"OPR","ENBW ENERGIE BADEN-WURTTEMBERG","BULB","0","Neckar","172","27"
"19","ALFERT 1","ALFERT","11007","59909","Herdecke",,"2000","0.21","0.00","0.00","0.00",NULL,"OPR","RWE INNOGY","FRANCIS","0","Ruhr","0","2"
"20","ALFERT 2","ALFERT","11007","59909","Herdecke",,"2000","0.16","0.00","0.00","0.00",NULL,"OPR","RWE INNOGY","FRANCIS","0","Ruhr","0","2"
"21","ALFREDSTAL REBUILD 1","ALFREDSTAL REBUILD","11012","0","Obernarchtal",,"2004","0.15","0.00","0.00","0.00",NULL,"OPR","E-WERK ALFREDSTAL GBR","FRANCIS","0",,"0","30"
"22","ALFREDSTAL REBUILD 2","ALFREDSTAL REBUILD","11012","0","Obernarchtal",,"2004","0.15","0.00","0.00","0.00",NULL,"OPR","E-WERK ALFREDSTAL GBR","FRANCIS","0",,"0","30"
"23","ALFREDSTAL REBUILD 3","ALFREDSTAL REBUILD","11012","0","Obernarchtal",,"2004","0.15","0.00","0.00","0.00",NULL,"OPR","E-WERK ALFREDSTAL GBR","FRANCIS","0",,"0","30"
"24","ALTENERDING 1","ALTENERDING","11018","0","Erding",,"2000","0.06","0.00","0.00","0.00",NULL,"OPR","STADTWERKE ERDING","FRANCIS","0",,"0","12"
"25","ALTENFELDEN 1","ALTENFELDEN","11012","0","Altenfelden",,"1980","0.07","0.00","0.00","0.00",NULL,"OPR","ALTENFELDEN HYDRO",,"0",,"0","30"
"26","ALTENSTADT 1","ALTENSTADT","11018","0","Altenstadt",,"1992","0.24","0.00","0.00","0.00",NULL,"OPR","ALTENSTADT HYDRO","BULB","0",,"0","12"
"27","ALTES WERK 1","ALTES WERK","11012","0","Baiersbronn",,"2000","0.30","0.00","0.00","0.00",NULL,"OPR","GEMEINDEWERKE BAIERSBRONN","FRANCIS","0",,"0","30"
"28","ALTES WERK 2","ALTES WERK","11012","0","Baiersbronn",,"2000","0.30","0.00","0.00","0.00",NULL,"OPR","GEMEINDEWERKE BAIERSBRONN","FRANCIS","0",,"0","30"
"29","ALTES WERK 3","ALTES WERK","11012","0","Baiersbronn",,"2000","0.02","0.00","0.00","0.00",NULL,"OPR","GEMEINDEWERKE BAIERSBRONN","FRANCIS","0",,"0","30"
"30","ALTHEIM 1","ALTHEIM","11018","0","Altheim",,"1951","6.00","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","KAPLAN","0","Isar","67","26"
"31","ALTHEIM 2","ALTHEIM","11018","0","Altheim",,"1951","6.00","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","KAPLAN","0","Isar","67","26"
"32","ALTHEIM 3","ALTHEIM","11018","0","Altheim",,"1951","6.00","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","KAPLAN","0","Isar","67","26"
"33","ALTHEIM A1","ALTHEIM","11018","0","Altheim",,"2000","0.60","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","KAPLAN","0","Isar","70","26"
"34","ALTHEIM A2","ALTHEIM","11018","0","Altheim",,"2000","0.08","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","KAPLAN","0","Isar","70","26"
"35","ALTUSRIED 1","ALTUSRIED","11010","0","Augsburg",,"1961","4.00","0.00","0.00","0.00",NULL,"OPR","LECHWERKE AG (LEW)","KAPLAN","0","Iller","84","15"
"36","ALTUSRIED 2","ALTUSRIED","11010","0","Augsburg",,"1961","4.00","0.00","0.00","0.00",NULL,"OPR","LECHWERKE AG (LEW)","KAPLAN","0","Iller","84","15"
"37","ALTWIED 1","ALTWIED","11008","0","Altwied",,"2000","0.40","0.00","0.00","0.00",NULL,"OPR","SUWAG ENERGIE AG","FRANCIS","0",,"0","17"
"38","ALTWIED 2","ALTWIED","11008","0","Altwied",,"2000","0.40","0.00","0.00","0.00",NULL,"OPR","SUWAG ENERGIE AG","FRANCIS","0",,"0","17"
"39","ALTWIED 3","ALTWIED","11008","0","Altwied",,"2000","0.40","0.00","0.00","0.00",NULL,"OPR","SUWAG ENERGIE AG","FRANCIS","0",,"0","17"
"40","ALZWERKE 1","ALZWERKE","11018","0","Alzwerke",,"1916","8.10","0.00","0.00","0.00",NULL,"OPR","WACKER-CHEMIE GMBH",,"0",,"0","12"
"41","ALZWERKE 2","ALZWERKE","11018","0","Alzwerke",,"1916","8.10","0.00","0.00","0.00",NULL,"OPR","WACKER-CHEMIE GMBH",,"0",,"0","12"
"42","ALZWERKE 3","ALZWERKE","11018","0","Alzwerke",,"1923","8.10","0.00","0.00","0.00",NULL,"OPR","WACKER-CHEMIE GMBH",,"0",,"0","12"
"43","ALZWERKE 4","ALZWERKE","11018","0","Alzwerke",,"1923","8.10","0.00","0.00","0.00",NULL,"OPR","WACKER-CHEMIE GMBH",,"0",,"0","12"
"44","ALZWERKE 5","ALZWERKE","11018","0","Alzwerke",,"1923","8.10","0.00","0.00","0.00",NULL,"OPR","WACKER-CHEMIE GMBH",,"0",,"0","12"
"45","AM MUHLBACH 1","AM MUHLBACH","11018","0","Mittenwald",,"2000","0.11","0.00","0.00","0.00",NULL,"OPR","GEMEINDEWERKE MITTENWALD","FRANCIS","0",,"0","12"
"46","AMERIKA 1","AMERIKA","11014","0","Amerika",,"1997","0.50","0.00","0.00","0.00",NULL,"OPR","JORG STEINBRUNNER","KAPLAN","0",,"0","7"
"47","ANGERMUHLE 1","ANGERMUHLE","11018","0","Angermuhle",,"2000","1.00","0.00","0.00","0.00",NULL,"OPR","MARTIN ERL ELEK","KAPLAN","0","Alz","46","4"
"48","ANGERMUHLE 2","ANGERMUHLE","11018","0","Angermuhle",,"2000","0.25","0.00","0.00","0.00",NULL,"OPR","MARTIN ERL ELEK","FRANCIS","0","Alz","46","4"
"49","ANGERMUHLE 3","ANGERMUHLE","11018","0","Angermuhle",,"2000","0.25","0.00","0.00","0.00",NULL,"OPR","MARTIN ERL ELEK","FRANCIS","0","Alz","46","4"
"50","ANTONSTHAL 1","ANTONSTHAL","11004","0","Antonsthal",,"2000","0.57","0.00","0.00","0.00",NULL,"OPR","KAISER & FELTER KW ANTONSTHAL",,"0",,"0","8"
"51","APFELDORF 1","APFELDORF","11018","0","Apfeldorf",,"1943","1.36","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","STRAFLO","0","Lech","110","1"
"52","APFELDORF 2","APFELDORF","11018","0","Apfeldorf",,"1943","1.36","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","STRAFLO","0","Lech","110","1"
"53","APFELDORF 3","APFELDORF","11018","0","Apfeldorf",,"1943","1.36","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","STRAFLO","0","Lech","110","1"
"54","APFELDORF 4","APFELDORF","11018","0","Apfeldorf",,"1943","1.36","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","STRAFLO","0","Lech","110","1"
"55","APFELDORF 5","APFELDORF","11018","0","Apfeldorf",,"1943","1.36","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","STRAFLO","0","Lech","110","1"
"56","APFELDORF 6","APFELDORF","11018","0","Apfeldorf",,"1943","1.36","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","STRAFLO","0","Lech","110","1"
"57","APPENMUHLE 1","APPENMUHLE","11011","0",,,"2000","0.04","0.00","0.00","0.00",NULL,"OPR","STADTWERKE KARLSRUHE GMBH",,"0",,"0","18"
"58","ARLEN 1","ARLEN","11012","0",,,"1962","0.29","0.00","0.00","0.00",NULL,"OPR","ARLEN HYDRO","BULB","0",,"0","30"
"59","ARLEN 2","ARLEN","11012","0",,,"1962","0.29","0.00","0.00","0.00",NULL,"OPR","ARLEN HYDRO","BULB","0",,"0","30"
"60","ASCHER HAGEBAUMARKT PV","ASCHER HAGEBAUMARKT","11011","0","Werbach",,"2000","0.23","0.00","0.00","0.00",NULL,"OPR","TAUBER-SOLAR MANAGEMENT GMBH",,"0",,"0","18"
"61","AU (UNTERE ARGEN) 1","AU (UNTERE ARGEN)","11012","0",,,"1993","0.58","0.00","0.00","0.00",NULL,"OPR","ENBW ENERGIE BADEN-WURTTEMBERG","KAPLAN","0",,"0","30"
"62","AU LEW 1","AU LEW","11010","0","Illertissen",,"2000","4.00","0.00","0.00","0.00",NULL,"OPR","LECHWERKE AG (LEW)","FRANCIS","0","Iller","18","38"
"63","AU LEW 2","AU LEW","11010","0","Illertissen",,"2000","4.00","0.00","0.00","0.00",NULL,"OPR","LECHWERKE AG (LEW)","FRANCIS","0","Iller","18","38"
"64","AU LEW 3","AU LEW","11010","0","Illertissen",,"2000","2.00","0.00","0.00","0.00",NULL,"OPR","LECHWERKE AG (LEW)","FRANCIS","0","Iller","18","38"
"65","AUBACH","AUBACH","11018","0","Aubach",,"1952","0.40","0.00","0.00","0.00",NULL,"OPR","VERBUND-INNKRAFTWERKE GMBH","KAPLAN","0",,"0","12"
"66","AUELE 1","AUELE","11010","0","Hindelang",,"2000","0.72","0.00","0.00","0.00",NULL,"OPR","ELEK HINDELANG EG","PELTON","0",,"0","19"
"67","AUELE 2","AUELE","11010","0","Hindelang",,"2000","0.60","0.00","0.00","0.00",NULL,"OPR","ELEK HINDELANG EG","PELTON","0",,"0","19"
"68","AUERBRUCKE 1","AUERBRUCKE","11011","0","Pforzheim",,"1986","0.50","0.00","0.00","0.00",NULL,"OPR","SWP STADTWERKE PFORZHEIM GMBH","BULB","0",,"0","18"
"69","AUERBRUCKE 2","AUERBRUCKE","11011","0","Pforzheim",,"1986","0.50","0.00","0.00","0.00",NULL,"OPR","SWP STADTWERKE PFORZHEIM GMBH","BULB","0",,"0","18"
"70","AUFKIRCHEN REBUILD 1","AUFKIRCHEN REBUILD","11018","0","Aufkirchen",,"1985","10.00","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","FRANCIS","0","Isar","115","9"
"71","AUFKIRCHEN REBUILD 2","AUFKIRCHEN REBUILD","11018","0","Aufkirchen",,"1985","10.00","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","FRANCIS","0","Isar","115","9"
"72","AUFKIRCHEN REBUILD 3","AUFKIRCHEN REBUILD","11018","0","Aufkirchen",,"1985","10.00","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","FRANCIS","0","Isar","115","9"
"73","AUFKIRCHEN REBUILD 4","AUFKIRCHEN REBUILD","11018","0","Aufkirchen",,"1985","10.00","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","FRANCIS","0","Isar","115","9"
"74","AUMUHLE 1","AUMUHLE","11018","0","Furstenfeldbruck",,"2000","0.08","0.00","0.00","0.00",NULL,"OPR","STADTWERKE FURSTENFELDBRUCK","FRANCIS","0",,"0","12"
"75","BACHSAMMLER 1","BACHSAMMLER","11018","0",,,"1951","0.20","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","KAPLAN","0",,"0","12"
"76","BAD ABBACH 1","BAD ABBACH","11018","0",,,"1975","3.05","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","KAPLAN","0","Donau","2401","32"
"77","BAD ABBACH 2","BAD ABBACH","11018","0",,,"1975","3.05","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","KAPLAN","0","Donau","2401","32"
"78","BAD ABBACH 3","BAD ABBACH","11018","0",,,"2000","3.50","0.00","0.00","0.00",NULL,"OPR","E.ON WASSERKRAFT GMBH","KAPLAN","0","Donau","2400","32"
"79","BAD REICHENHALL 1","BAD REICHENHALL","11009","0","Bad Reichenhall",,"1994","0.25","0.00","0.00","0.00",NULL,"OPR","BAD REICHENHALL HYDRO","FRANCIS","0","Saalach","0","4"
"80","BAD REICHENHALL 2","BAD REICHENHALL","11009","0","Bad Reichenhall",,"1994","0.25","0.00","0.00","0.00",NULL,"OPR","BAD REICHENHALL HYDRO","FRANCIS","0","Saalach","0","4"
"81","BAD REICHENHALL 3","BAD REICHENHALL","11009","0","Bad Reichenhall",,"1998","0.25","0.00","0.00","0.00",NULL,"OPR","BAD REICHENHALL HYDRO","FRANCIS","0","Saalach","0","4"
"82","BAD REICHENHALL 4","BAD REICHENHALL","11009","0","Bad Reichenhall",,"1998","0.25","0.00","0.00","0.00",NULL,"OPR","BAD REICHENHALL HYDRO","FRANCIS","0","Saalach","0","4"
"83","BADSTRASSE 1","BADSTRASSE","11012","0","Neuenburg",,"2000","0.14","0.00","0.00","0.00",NULL,"OPR","STADTWERKE NEUENBURG","FRANCIS","0",,"0","30"
"84","BADSTRASSE 2","BADSTRASSE","11012","0","Neuenburg",,"2000","0.09","0.00","0.00","0.00",NULL,"OPR","STADTWERKE NEUENBURG","FRANCIS","0",,"0","30"
"85","BAHNOFSTRASSE NEUENBURG 1","BAHNOFSTRASSE NEUENBURG","11012","0","Neuenburg",,"2000","0.25","0.00","0.00","0.00",NULL,"OPR","STADTWERKE NEUENBURG","FRANCIS","0",,"0","30"
"86","BALDENEY 1","BALDENEY","11006","0","Baldeney",,"1933","4.55","0.00","0.00","0.00",NULL,"OPR","RWE INNOGY","KAPLAN","0","Ruhr","31","2"
"87","BALDENEY 2","BALDENEY","11006","0","Baldeney",,"1933","4.55","0.00","0.00","0.00",NULL,"OPR","RWE INNOGY","KAPLAN","0","Ruhr","31","2"
"88","BALINGEN EPPLER 1","BALINGEN EPPLER","11012","0",,,"2000","0.05","0.00","0.00","0.00",NULL,"OPR","JOHANNES EPPLER KG","BULB","0",,"0","30"
